Year,TEMP,O2,NO3
1990,6.5,395.69,35
1990,6.4,398.82,80
1990,6.4,370.24,126
1990,6.6,430.98,272
1990,6.6,334.96,398
1990,7.6,287.17,458
1990,7.4,236.26,380
1990,7.4,121.03,376
1990,6.2,414.9,18
1990,8.2,398.82,13.9
1990,8,382.74,30.7
1990,8.4,363.99,42.9
1990,8.5,363.99,34.9
1990,8.2,451.07,13.1
1990,8.9,363.99,10.3
1990,7.8,363.99,16.2
1990,7.3,363.99,23.1
1990,8.7,351.03,8.8
1990,9.4,354.16,8.1
1990,9.3,334.96,9.3
1990,8.6,367.11,10.8
1990,9.4,357.29,9.7
1990,7.4,386.32,2.5
1990,7.8,357.29,5.2
1990,9.5,360.41,5
1990,9.4,344.78,7.6
1990,9.4,338.08,3.3
1990,8.5,331.83,7.2
1990,8.5,357.29,6.5
1990,9.4,354.16,5.2
1990,8.5,421.15,13.8
1990,8.3,408.65,1.3
1990,9,379.62,7.3
1990,8.2,338.08,3.8
1990,8.1,363.99,14.2
1990,7.8,382.74,33.3
1990,7.8,382.74,3.4
1990,7.2,401.95,37.2
1990,6.7,379.62,74
1990,6.6,386.32,142
1990,6.5,405.07,241
1990,6.6,414.9,312
1990,7.4,293.42,376
1990,7.6,223.3,398
1990,7.5,207.23,356
1990,7.4,137.11,410
1990,7.2,395.69,40.4
1990,7.6,389.44,29.5
1995,6.99,325.58,30.9
1995,7.2,327.81,21.8
1995,5.76,332.72,157.6
1995,6.07,338.98,323
1995,7.1,258.59,366
1995,6.79,328.7,59.9
1995,8.12,323.79,12.7
1995,8.68,320.22,12.4
1995,8.06,322,16.2
1995,8.19,328.7,16.1
1995,7.83,326.92,18.1
1995,7.73,322.9,25.6
1995,8.23,315.31,104.3
1995,8.03,322,211
1995,9.25,160.78,295
1995,8.82,70.56,288
1995,8.18,334.96,186
1995,7.23,309.95,46.3
1995,7.36,312.63,43.5
1995,7.51,312.18,28
1995,7.89,305.48,9.2
1995,8.21,306.37,11
1995,10.3,292.53,7.2
1995,10.76,293.87,5.1
1995,9.47,296.55,8.9
1995,8.45,302.8,14.1
1996,0.18,390.34,42.1
1996,0.27,385.87,52.7
1996,0.6,372.47,59.8
1996,0.82,384.08,117
1996,0.61,380.51,164.1
1996,0.89,377.83,220
1996,2.31,328.7,278
1996,2.78,305.93,293
1996,2.57,259.93,280
1996,2.22,150.95,232
1996,0.66,380.06,39.8
1996,0.27,363.99,47.1
1996,0.99,358.63,39.4
1996,2.28,347.91,20.7
1996,2.15,363.09,35.4
1996,2.56,339.42,29.8
1996,2.24,350.59,30.8
1996,3.49,342.55,13.4
1996,5.43,326.92,12
1996,5.63,325.58,11.4
1996,6.71,316.2,9.4
1996,4.33,350.59,16
1996,6.26,322.9,9.9
1996,4.19,347.46,10.9
1996,0.05,374.26,38.6
1996,0.39,395.69,33.7
1996,2.89,360.41,25.7
1996,0.81,395.69,61.1
1996,0.86,409.09,118
1996,0.92,416.24,166.9
1996,1.46,405.97,212
1996,2.64,362.2,265
1996,2.78,315.31,278
1996,2.44,234.92,264
1996,2.32,154.53,231
1996,2.53,97.36,215
1996,6.72,331.38,53
1996,6.77,334.06,47.6
1996,6.66,332.72,124.4
1996,6.48,328.7,183.9
1996,6.95,299.67,280
1996,6.71,326.92,45.9
1996,7.71,302.8,22.4
1996,9.51,308.16,6.8
1996,9.3,309.05,10.5
1996,9.25,304.14,10.1
1996,9.56,298.78,10
1996,9.67,300.57,9.8
1996,8.85,305.48,11.8
1996,9.22,305.03,10.2
1996,8.37,307.27,18.8
1996,8.41,308.16,22.4
1996,8.18,313.07,23.2
1996,8.88,305.48,10.3
1996,6.66,309.95,58.6
1996,6.4,100.49,420
1996,6.21,274.22,158.9
1996,6.64,250.1,313
1996,6.94,202.76,157.5
1996,8.07,136.66,374
1997,1.39,368.9,51.3
1997,1.15,372.47,50.8
1997,1.23,365.77,53.3
1997,2.16,362.2,31.7
1997,2.21,355.5,32
1997,1.76,368.9,33.2
1997,1.23,372.47,39.4
1997,2.21,355.5,30.5
1997,3.01,348.8,24.1
1997,2.86,354.16,25.3
1997,2.95,352.37,24.7
1997,3.87,342.1,19.3
1997,2.96,355.5,22.4
1997,1.32,368.9,36
1997,1.52,367.56,37.8
1997,1.54,375.6,50.2
1997,1.51,372.47,62.4
1997,0.91,377.38,137.8
1997,0.8,384.08,145.9
1997,1.31,365.77,229
1997,2.75,313.52,275
1997,3.12,268.41,280
1997,2.5,157.65,255
1997,2.66,30.37,181
1997,4.21,338.98,59.7
1997,5,348.8,17
1997,5.07,352.37,11.2
1997,5.54,348.8,7.1
1997,5.53,345.67,9
1997,5.31,355.5,8.7
1997,5.11,348.8,10.8
1997,5,345.67,12.4
1997,5.24,345.67,12.4
1997,5.32,338.98,19.8
1997,5.19,338.98,26.9
1997,5.03,342.1,25.4
1997,4.21,355.5,63.2
1997,3.93,365.77,76.9
1997,4.17,372.47,93.7
1997,4.42,375.6,192.9
1997,5.21,362.2,238
1997,6.31,305.48,207
1997,6.87,251.89,284
1997,6.63,188.02,294
1997,6.82,147.83,328
1997,6.87,154.53,380
1997,4.89,335.4,48.9
1997,3.79,350.59,25.4
1997,4.53,342.1,17
1997,5.25,322,10.8
1997,6.18,332.28,7.7
1997,5.17,352.37,10.5
1997,6.77,322,35.3
1997,10.61,298.78,6.2
1997,11.29,295.21,6.5
1997,6.91,318.88,18.8
1997,6.89,317.09,41.1
1997,6.9,318.88,44.2
1997,6.93,322,96.3
1997,6.65,332.28,140.1
1997,6.79,322,197.8
1997,7.98,241.61,273
1997,8.59,141.13,318
1997,7.98,57.17,304
1997,7.39,57.17,250
1997,7.14,66.99,240
1997,9.3,306.82,8
1997,8.26,312.18,17.7
1997,9.35,300.12,13.5
1997,9.87,296.99,14.4
1997,10.07,301.91,8.3
1997,10.4,300.12,8.7
1997,10.43,298.78,10
1997,10.28,298.78,9.6
1997,10.47,298.78,7.7
1997,8.39,313.52,19.7
1998,4.6785,350.59,64.6
1998,4.9014,348.8,96.3
1998,4.8309,362.2,226
1998,4.6931,363.99,292
1998,6.1967,259.93,467
1998,4.6266,197.85,415
1998,5.3826,338.98,25.9
1998,5.0815,340.76,38.9
1998,7.5529,318.88,8.4
1998,8.1929,315.31,6.7
1998,7.5496,322,11.1
1998,7.9636,315.31,10.1
1998,6.3589,328.7,29.4
1998,4.4184,328.7,66.8
1998,4.2716,342.1,56.5
1998,4.3613,342.1,55.9
1998,6.3455,330.49,23.2
1998,4.9931,342.1,64.1
1998,4.4877,342.1,83.2
1998,4.996,342.1,70.5
1998,5.2585,340.76,74.6
1998,5.968,335.4,34.1
1998,5.5496,334.06,40.4
1998,5.5825,332.28,51.7
1998,5.8548,332.28,40
1998,6.8434,322,26.2
1998,6.8768,322,25.5
1998,8.4774,308.61,10.8
1998,8.2408,312.18,13.5
1998,5.303,335.4,46.1
1998,5.7365,335.4,30.6
1998,8.4964,312.18,9.3
1998,9.2389,301.91,8.2
1999,5.0631,359.07,102.5
1999,4.9182,375.6,202
1999,4.8821,385.87,389
1999,5.1587,375.6,363
1999,5.9598,312.18,138
1999,5.6333,271.98,76.7
1999,6.1092,228.22,138.6
1999,6.3761,224.64,123.7
1999,4.9896,368.9,120.7
1999,4.9065,365.77,99.3
1999,4.8899,365.77,78.8
1999,5.0262,359.07,88.4
1999,5.1212,355.5,68.2
1999,6.8795,338.98,11.6
1999,6.2276,342.1,20.9
1999,5.2448,362.2,44.5
1999,5.3521,348.8,55.2
1999,5.5596,345.67,43.4
1999,5.8448,342.1,24.6
1999,5.4719,345.67,45.3
1999,5.673,345.67,37.8
1999,5.6992,352.37,34.4
1999,5.0148,348.8,84.3
1999,6.2256,348.8,18.6
1999,5.8084,342.1,38.2
2000,5.7907,331.83,75.3
2000,5.8821,329.15,48.1
2000,5.7842,333.62,52.5
2000,6.8107,325.58,14.9
2000,5.9573,355.95,266
2000,6.3374,334.96,199
2000,7.1871,280.02,408
2000,7.4649,236.7,416
2000,7.2996,204.1,364
2000,7.3975,167.92,347
2000,7.4955,153.63,335
2000,-9,335.85,45.4
2000,6.7635,328.7,19.1
2000,9.2112,304.59,52.9
2000,10.267,300.12,16.6
2000,10.79,295.21,12.4
2000,10.553,292.08,14.4
2000,10.735,288.51,13.5
2000,11.085,295.21,10.8
2000,11.083,288.51,11
2000,10.888,288.51,13.5
2000,10.627,288.51,18.3
2000,10.532,295.21,18.4
2000,10.149,295.21,24.7
2000,9.1901,301.91,42.2
2000,9.7906,298.78,27.8
2000,8.8114,311.73,78.2
2000,8.6451,301.91,104.1
2000,8.694,322,192
2000,8.6067,322,236
2000,8.9555,295.21,292
2000,9.8231,217.94,340
2000,9.8519,161.23,334
2000,9.4263,110.76,315
2000,9.6028,113.89,318
2000,9.6988,120.58,306
2000,11.023,295.21,9.9
2000,11.4,292.08,7.2
2000,11.215,288.51,9.2
2000,10.827,292.08,11.4
2001,4.1492,384.08,90
2001,4.4948,374.26,53.5
2001,4.4738,381.4,46.6
2001,7.1267,349.25,13.4
2001,6.829,353.27,12.3
2001,7.2093,347.91,11.6
2001,7.621,338.98,9.3
2001,7.1489,351.48,12.1
2001,7.1101,351.93,12.2
2001,6.6145,362.2,14.6
2001,6.3978,357.29,17
2001,5.9408,352.82,23.4
2001,6.2363,361.75,19.4
2001,6.2336,360.86,33.8
2001,6.2271,365.33,22.4
2001,4.9701,365.33,58.8
2001,4.9358,359.97,54.1
2001,5.841,360.41,90
2001,4.2467,382.74,23.2
2001,4.1621,382.3,106.4
2001,4.1168,384.98,217
2001,4.1361,374.26,291
2001,4.5145,318.88,163
2001,5.6605,207.23,377
2001,5.7833,168.82,364
2001,5.5642,186.68,356
2001,5.4426,164.35,347
2001,5.3779,174.62,350
2002,7.5035,312.18,58.4
2002,7.7669,318.88,17.5
2002,7.7722,348.8,18.1
2002,7.8617,342.1,21.3
2002,8.2128,342.1,25.1
2002,8.154,342.1,27.3
2002,8.0566,342.1,25.8
2002,8.01,338.98,23.4
2002,7.6913,342.1,17.1
2002,8.2143,342.1,16.5
2002,7.95,342.1,19.6
2002,8.0986,342.1,22.9
2002,8.394,335.4,20.5
2002,8.4496,335.4,21.6
2002,8.8768,332.28,17.1
2002,9.1191,217.94,297
2002,8.6349,184.45,249
2002,8.577,171.05,278
2002,8.6801,181.32,255
2002,9.307,305.48,48.2
2002,9.957,301.91,23.8
2002,9.553,305.48,35.7
2002,12.079,288.51,8.6
2002,12.447,281.81,7.2
2002,12.204,288.51,7.8
2002,12.556,281.81,8.2
2002,12.107,281.81,9.4
2002,12.023,285.38,9.5
2002,11.716,281.81,11.9
2002,11.907,288.51,10.4
2002,11.831,288.51,10.6
2002,11.699,292.08,10.3
2002,11.61,288.51,11.5
2002,11.152,288.51,15.9
2002,10.8,288.51,21.4
2002,9.978,298.78,20.1
2002,10.353,298.78,15.5
2002,9.225,308.61,75.6
2002,9.054,312.18,76.4
2002,9.06,312.18,114.6
2002,8.937,315.31,172
2002,9.171,305.48,229
2002,10.042,208.12,259
2002,9.938,137.56,309
2002,8.888,66.99,295
2002,8.618,60.29,276
2002,8.719,87.09,280
2003,4.206,342.1,75.9
2003,4.187,342.1,72.3
2003,5.478,332.28,31.4
2003,5.072,335.4,40.9
2003,4.764,335.4,49.8
2003,4.483,335.4,66
2003,4.269,338.98,82.8
2003,4.655,342.1,51
2003,5.375,328.7,27.6
2003,5.09,335.4,39.6
2003,5.877,328.7,20.7
2003,6.008,322,21.4
2003,6.113,322,19.9
2003,6.655,318.88,14.8
2003,6.05,322,20.8
2003,6.764,312.18,7.6
2003,5.557,322,26.1
2003,4.315,342.1,71
2003,4.23,342.1,61.3
2003,4.21,342.1,72.8
2003,4.12,352.37,203
2003,4.183,342.1,261
2003,4.544,305.48,299
2003,5.41,248.31,324
2003,5.155,221.52,294
2003,4.763,208.12,264
2003,5.004,208.12,299
2003,5.395,211.25,317
2004,5.9715,339.42,57.1
2004,5.5947,389,85.9
2004,5.7625,405.97,185
2004,5.9504,319.77,262
2004,6.6469,310.84,328
2004,6.9608,277.34,361
2004,6.4115,259.48,369
2004,5.9638,240.72,359
2004,5.9541,227.32,370
2004,6.3704,223.75,376
2004,7.3788,275.11,47
2004,7.6393,267.07,14.6
2004,7.682,280.02,18.7
2004,7.7301,273.77,26.3
2004,7.8041,276,26.7
2004,8.0951,270.2,20
2004,8.1764,271.09,20.7
2004,7.8911,273.77,15
2004,7.8687,275.56,16
2004,7.8812,274.66,14.6
2005,5.3319,338.08,57.3
