		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
11.07.11	20:05	18.6	18.6	18.5	86	16.2	0.0	---	0.00	0.0	---	18.6	19.1	19.1	17.9	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	19.3	78	15.3	19.8	15.61	1.1846	0.00	40	1	35.1	5
11.07.11	20:10	18.7	18.7	18.6	86	16.3	0.0	---	0.00	0.0	---	18.7	19.2	19.2	18.1	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	19.4	77	15.3	19.9	15.19	1.1840	0.00	117	1	100.0	5
11.07.11	20:15	18.7	18.7	18.7	86	16.3	0.0	---	0.00	0.0	---	18.7	19.3	19.3	18.1	1011.4	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	19.6	77	15.4	20.1	15.17	1.1835	0.00	117	1	100.0	5
11.07.11	20:20	17.8	18.8	17.8	72	12.7	0.9	NNE	0.27	2.2	SE	17.8	17.7	17.7	18.2	1011.5	0.20	2.0	72	0.52	178	0.0	0.00	0.0	0.002	0.000	19.7	76	15.4	20.2	14.80	1.1830	0.00	117	1	100.0	5
11.07.11	20:25	16.0	17.7	16.0	77	12.0	0.9	NNE	0.27	1.8	NNE	16.0	15.9	15.9	17.4	1011.6	0.00	1.8	120	0.86	139	0.0	0.00	0.0	0.008	0.000	19.8	75	15.3	20.3	14.45	1.1828	0.00	117	1	100.0	5
11.07.11	20:30	15.1	15.9	15.1	81	11.8	0.4	NW	0.13	1.3	NNW	15.1	14.9	14.9	15.4	1011.7	0.00	1.0	74	0.53	113	0.0	0.00	0.0	0.011	0.000	19.7	76	15.4	20.2	14.80	1.1832	0.00	117	1	100.0	5
11.07.11	20:35	14.7	15.0	14.7	83	11.9	0.0	---	0.00	0.0	---	14.7	14.7	14.7	14.4	1011.7	0.00	0.8	41	0.29	44	0.0	0.00	0.0	0.013	0.000	19.4	76	15.0	19.8	14.81	1.1851	0.00	117	1	100.0	5
11.07.11	20:40	14.7	14.7	14.7	83	11.8	0.4	NNE	0.13	1.3	NNE	14.7	14.6	14.6	14.2	1011.8	0.00	0.0	35	0.25	37	0.0	0.00	0.0	0.013	0.000	19.1	76	14.8	19.5	14.82	1.1866	0.00	117	1	100.0	5
11.07.11	20:45	14.5	14.7	14.5	84	11.8	0.4	NNE	0.13	1.3	NNE	14.5	14.4	14.4	14.2	1011.8	0.00	0.0	42	0.30	53	0.0	0.00	0.0	0.013	0.000	18.8	76	14.5	19.1	14.83	1.1884	0.00	118	1	100.0	5
11.07.11	20:50	14.3	14.5	14.3	84	11.6	0.4	NNW	0.13	1.8	NNW	14.3	14.2	14.2	14.0	1011.9	0.00	0.0	42	0.30	65	0.0	0.00	0.0	0.014	0.000	18.3	73	13.4	18.4	14.05	1.1919	0.00	117	1	100.0	5
11.07.11	20:55	13.9	14.3	13.9	86	11.6	0.4	NW	0.13	1.3	NW	13.9	13.9	13.9	14.2	1011.9	0.00	0.0	60	0.43	63	0.0	0.00	0.0	0.015	0.000	18.3	73	13.4	18.4	14.05	1.1920	0.00	117	1	100.0	5
11.07.11	21:00	13.6	13.9	13.6	86	11.3	0.4	NW	0.13	0.9	NW	13.6	13.6	13.6	13.6	1011.9	0.00	0.0	52	0.37	56	0.0	0.00	0.0	0.016	0.000	18.4	72	13.2	18.4	13.75	1.1916	0.00	117	1	100.0	5
11.07.11	21:05	13.3	13.6	13.3	87	11.2	0.4	NW	0.13	0.9	NW	13.3	13.3	13.3	13.1	1012.0	0.00	0.0	40	0.29	42	0.0	0.00	0.0	0.017	0.000	18.3	72	13.1	18.3	13.75	1.1923	0.03	117	1	100.0	5
11.07.11	21:10	13.2	13.3	13.1	87	11.0	0.0	---	0.00	0.0	---	13.2	13.2	13.2	12.6	1012.0	0.00	0.0	26	0.19	30	0.0	0.00	0.0	0.018	0.000	17.8	71	12.5	17.8	13.53	1.1949	0.00	117	1	100.0	5
11.07.11	21:15	13.1	13.1	13.1	88	11.1	0.0	---	0.00	0.0	---	13.1	13.1	13.1	12.3	1012.0	0.00	0.0	21	0.15	23	0.0	0.00	0.0	0.018	0.000	17.2	72	12.1	17.1	13.75	1.1978	0.00	117	1	100.0	5
11.07.11	21:20	13.0	13.1	13.0	88	11.1	0.0	---	0.00	0.0	---	13.0	13.0	13.0	12.2	1012.1	0.00	0.0	18	0.13	19	0.0	0.00	0.0	0.019	0.000	16.3	72	11.3	16.1	13.75	1.2026	0.00	117	1	100.0	5
11.07.11	21:25	12.7	13.0	12.7	88	10.8	0.0	---	0.00	0.0	---	12.7	12.7	12.7	11.8	1012.2	0.00	0.0	15	0.11	16	0.0	0.00	0.0	0.019	0.000	15.6	72	10.5	15.3	13.75	1.2067	0.00	117	1	100.0	5
11.07.11	21:30	12.6	12.7	12.6	89	10.8	0.0	---	0.00	0.0	---	12.6	12.6	12.6	11.2	1012.2	0.00	0.0	13	0.09	14	0.0	0.00	0.0	0.020	0.000	14.8	73	10.0	14.5	14.05	1.2101	0.00	117	1	100.0	5
11.07.11	21:35	12.4	12.6	12.4	90	10.8	0.0	---	0.00	0.0	---	12.4	12.4	12.4	11.1	1012.3	0.00	0.0	11	0.08	12	0.0	0.00	0.0	0.021	0.000	14.1	73	9.3	13.7	14.17	1.2143	0.00	117	1	100.0	5
11.07.11	21:40	12.1	12.3	12.1	89	10.3	0.0	---	0.00	0.0	---	12.1	12.1	12.1	10.7	1012.2	0.00	0.0	9	0.06	11	0.0	0.00	0.0	0.022	0.000	13.4	73	8.6	13.0	14.26	1.2176	0.00	117	1	100.0	5
11.07.11	21:45	11.7	12.1	11.7	90	10.1	0.0	---	0.00	0.0	---	11.7	11.8	11.8	10.3	1012.3	0.00	0.0	7	0.05	7	0.0	0.00	0.0	0.023	0.000	12.7	74	8.2	12.4	14.55	1.2210	0.00	117	1	100.0	5
11.07.11	21:50	11.3	11.7	11.3	89	9.6	0.0	---	0.00	0.0	---	11.3	11.4	11.4	9.8	1012.4	0.00	0.0	5	0.04	5	0.0	0.00	0.0	0.024	0.000	12.2	74	7.7	11.9	14.53	1.2240	0.00	118	1	100.0	5
11.07.11	21:55	10.9	11.3	10.9	90	9.4	0.0	---	0.00	0.0	---	10.9	11.1	11.1	9.4	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.026	0.000	11.7	74	7.2	11.4	14.51	1.2266	0.00	117	1	100.0	5
11.07.11	22:00	10.6	10.9	10.6	91	9.2	0.0	---	0.00	0.0	---	10.6	10.7	10.7	9.1	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.027	0.000	11.1	75	6.8	10.9	14.79	1.2294	0.00	117	1	100.0	5
